terms,ShortDef,LongDef,DeepDive,Contributors,Tags
Accreditation,"A quality assurance and enhancement mechanism for programmes/courses by a relevant institution/external professional body, to ensure standards.","









","Accreditation can mean different things/be applied differently in different academic disciplines.  The [QAA website](https://www.qaa.ac.uk/reviewing-higher-education/degree-awarding-powers-and-university-title) gives more information about the general degree awarding powers that universities hold. Some schools/departments within a university will be accredited by an organisation (for example, the Adam Smith Business School at the University of Glasgow is accredited by AACSB, EQUIS, and AMBA), whereas in other areas, some degrees are accredited by professional bodies/organisations. This means that they are aligned with the professional body’s own qualifications and ensures that the education programme meets industry standards. Examples include the City Planning and Real Estate Msc degrees at the University of Glasgow are accredited by the [Royal Town Planning Institute (RTPI)](http://www.rtpi.org.uk https://www.rtpi.org.uk/become-a-planner/study-at-university/wales-scotland-and-northern-ireland/) and the [Royal Institute for Chartered Surveyors](https://www.rics.org https://www.rics.org/surveyor-careers/how-to-become-a-surveyor/university-surveying-courses) Other example include medicine and dentistry.

","Joanna Stewart, Alison McCandlish",
Active Learning,Learning by doing and reflection; this could be individual or collaborative.,"Active learning is defined as “any instructional method that engages students in the learning process….[it] requires students to do meaningful activities and think about what they are doing” (prince, 2004, p.233, citing bonwell and eison 1991).









","Active learning can take place in any format, including online or in-person.  There is a large variety of methods and strategies that can be employed. e.g., team-based learning, think, pair, share and problem-based learning. Active learning supports various skills such as critical thinking, problem-solving, teamwork, communication and collaboration. Active learning facilitates deep learning vs superficial learning.

",Vicki Dale,
AI-driven Adaptive Learning,Ai-driven systems provide a more personalised learning experience which cater to diverse learning preferences/requirements.,"Ai-driven adaptive learning enhances student engagement and performance, scaffolding individual learner pathways in real-time based on performance and preference. It requires technology to diagnose a starting point for learners in terms of their existing knowledge and skills. Subsequently upskilling them and continually monitoring their performance. The systems provide immediate feedback to the students, which informs their subsequent learning tasks.









","

",Vicki Dale,
Assessment,Method for evaluating learning and skills of learners,"Various methods for evaluating the learning that has taken place during a course, module or programme of study. Typically centered on demonstrating how the intended learning objectives of a course have been met, but also includes skills in communication that a student developed through a course









","While the goal is often to measure the attainment of learning objectives, something teachers forget to do is to align their assessment with those objectives or in other cases, the method of assessment can rely on a student needing to develop skills in communication that are assumed/not explicitly taught. The process of constructive alignment can help to align teaching methods and assessments with intended learning outcomes.

",Helena Paterson,hidden curriculum; pedagogy
Asynchronous Learning,Learning within the same module that occurs at different times for different students.,"Asynchronous learning refers to students accessing materials at their own pace/in their own time  (for example, watching pre-recorded lectures or doing readings).









","

",Joanna Stewart,
Co-Creation,Development through collaboration,"In an education setting this term most likely refers to staff and students working together to develop novel teaching and assessment approaches









","The University of Glasgow Learning and Teaching Conference 2025 was on the theme of Co-Creation and Collaboration and the programme can be viewed here: [https://www.gla.ac.uk/myglasgow/add/events/pastconferencewebpages/annuallearningandteachingconference/](https://www.gla.ac.uk/myglasgow/add/events/pastconferencewebpages/annuallearningandteachingconference/). In addition, a series of presentations on the theme of Co-Creation from the conference can be found on the associated Youtube channel here: [https://www.youtube.com/playlist?list=PLUtE5AlmlvhVBabCbLiGVC-8CyTEHOjRg](https://www.youtube.com/playlist?list=PLUtE5AlmlvhVBabCbLiGVC-8CyTEHOjRg)

",Phil McAleer,
COIL,An abbreviation for collaborative online international learning; a style of teaching which involves two or more groups of students from different institutes being taught that same module at the same time using the resources available at all the institutes involved.,"









","

",,
Consent,Voluntary agreement to take part in an event,"









","

",,
Control Groups,In experimental design a group that did not experience an intervention,"A group that represented the baseline or default state









","

",,
Demographics,"The characteristics of a population. (often described with descriptive statistics). With regard to students, key demographics include gender, age, socio-economic background, country of origin, ethnicity, employment status, and caring responsibilities.","









","

",Joanna Stewart,
Digital Credentials,,"









","

",,
Dissemination,Making sotl findings public.,"Dissemination involves sharing our practice as widely as possible









","

",Eilidh Soussi,
Ecopedagogy,,"









","

",,
EDI,"An abbreviation for the term equality, diversity and inclusion","









","

",,
Effect Sizes,A measure of the outcome of a study.,"









","

",,
Epistemology,"Epistemology is the study of the nature of knowledge, how it is defined, what can be known, and what are its limits.","Epistemology is the study of the nature of knowledge, how it is defined, what can be known, and what are its limits.

Guba, e. S. and lincoln, y. S. (1994) ‘competing paradigms in qualitative research’, in denzin, n.k. & Lincoln, y.s. (eds.) Handbook of qualitative research. 2 ed. Thousand oaks, sage.

“Epistemology, according to the oxford english dictionary, is the theory or science of the method and ground of knowledge. It is a core area of philosophical study that includes the sources and limits, rationality and justification of knowledge.”

Stone, l. 2008. Epistemology. In given, l. (ed.) The sage encyclopedia of qualitative research methods. Thousand oaks.

“Branch of philosophy that investigates the possibility, origins, nature, and extent of human knowledge. Although the effort to develop an adequate theory of knowledge is at least as old as plato’s theaetetus, epistemology has dominated western philosophy only since the era of descartes and locke, as an extended dispute between rationalism and empiricism over the respective importance of a priori and a posteriori origins. Contemporary postmodern thinkers (including many feminist philosophers) have proposed the contextualization of knowledge as part of an intersubjective process.

“Defined narrowly, epistemology is the study of knowledge and justified belief. As the study of knowledge, epistemology is concerned with the following questions. What are the necessary and sufficient conditions of knowledge? What are its sources? What is its structure, and what are its limits? As the study of justified belief, epistemology aims to answer questions such as how we are to understand the concept of justification? What makes justified beliefs justified? Is justification internal or external to one’s own mind? Understood more broadly, epistemology is about issues having to do with the creation and dissemination of knowledge in particular areas of inquiry.","

",Nic Kipar,Methods
Ethics,Principles that determine and guide how we teach and carry out research and scholarship.,"









","

",,
Feedback,Information about reactions to a person’s contribution to a task,"Feedback in educational settings









","

",,
Formative Assessment,Activities designed to give both the teacher and the student an understanding of the student’s knowledge and skill without assigning a grade or counting towards a final grade.,"









","

",,
Gamification,,"









","

",,
Glasgow Specific Terms,,"









","

",,
Hidden Curriculum,The unwritten knowledge of the workings of an institution generally learned through experience,"









","

",Phil McAleer,
Knowledge Exchange,,"









","

",,
Learning,,"









","

",,
Learning Analytics,,"









","

",,
LTI,,"









","

",,
LTS,"Learning, teaching and scholarship","









","A career track at the University of Glasgow: [Guidelines for Learning, Teaching & Scholarship Track](https://www.gla.ac.uk/media/Media_499574_smxx.pdf)

",Alison McCandlish,
Mann-Whitney U test,A non-parametric inferential statistics test for comparing the difference between two groups.,"









","

",,
Mentimeter,An interactive computer programme tool which allows an audience to interact with pre-defined (presenter-designed) questions using their own device.,"









","https://www.mentimeter.com/ is the main company website. https://www.mentimeter.com/education shows education use cases.

The company describes the tool as a way to “Turn presentations into conversations with interactive polls that engage meetings and classrooms”",Alison McCandlish,
Mixed Methods,,"









","

",,
Moodle,"Core moodle (modular object-oriented dynamic learning environment) is an open-source learning management system designed for online education and training. It allows educators to create, deliver, and manage courses and assessment activities in a digital environment and also facilitates integrations with a variety of other complementary learning technologies, enhancing the learning experience for students and educators.","









","

",,
Multidisciplinary,,"









","

",,
Ontology,,"“One’s view of reality. Ontology includes one’s assumptions about the nature of reality and claims about what exists. In sotl, it is important to acknowledge the philosophical underpinnings that inform the research decisions.” (Webb & tierney)









","

",Katharine Terrell,
Open Science,,"









","

",,
Open Source,,"









","

",,
Outputs,Forms of dissemination.,"









","The outputs of a SOTL project might be blog posts, journal articles, posters and more.

",Katharine Terrell,
p-value,"The probability of your data (or more extreme), assuming the null hypothesis is true.","Under frequentist inferential statistics, the p-value represents the probability of your data (or more extreme), assuming that the null hypothesis is true. Informally, you can see it as a measure of surprise, where a small p-value means your data would be surprising under the null hypothesis. Conversely, a large p-value means your data would not be surprising under the null hypothesis. The idea behind this technique is helping you make decisions where you can either reject the null or retain the null. Given an alpha value (often .05 or 5%), rejecting the null means you conclude there is an effect, whereas retaining the null means you do not conclude there is an effect.









","

",James Bartlett; Phil McAleer; Helena Paterson,Statistics
